lat,lon,presence,chl_mean,o2_mean,so_mean,sws_mean,thetao_mean
43.328499,-1.923155,1,0.46145230531692505,252.49269104003906,34.914642333984375,0.032911188900470734,16.98811149597168
43.439573,16.477576,1,0.3693646192550659,234.36190795898438,38.534584045410156,0.007986973039805889,18.43364715576172
43.369704,-1.90926,1,0.46145230531692505,252.49269104003906,34.914642333984375,0.032911188900470734,16.98811149597168
43.68575,-5.673237,1,0.5866464376449585,253.5470733642578,35.510650634765625,0.020832311362028122,16.410966873168945
56.4631,12.75567,1,0.543618381023407,312.3079528808594,16.70842170715332,0.07621768116950989,10.042222023010254
54.820835,-8.526319,1,0.7105209231376648,274.3619384765625,34.85663604736328,0.04533224180340767,11.710600852966309
60.814213,4.829316,1,0.64836186170578,290.09423828125,32.381282806396484,0.08926740288734436,10.017866134643555
52.45,4.5,1,2.1165637969970703,285.2159729003906,30.733863830566406,0.06219806894659996,12.07297420501709
51.6,3.6,1,1.8418951034545898,278.7938232421875,30.128252029418945,0.04308412969112396,12.421736717224121
67.058926,14.03871,1,0.7213460803031921,298.16357421875,33.295806884765625,0.08311620354652405,7.698792457580566
63.311088,8.349652,1,0.49950724840164185,288.82281494140625,33.01909255981445,0.037872642278671265,9.36422061920166
58.36485,11.05704,1,0.6212727427482605,299.622314453125,28.70949935913086,0.41415607929229736,10.053705215454102
57.77322,11.5184,1,0.854845404624939,304.52276611328125,25.555679321289062,0.29803070425987244,10.06148624420166
55.955671,11.511607,1,0.659723699092865,321.7059020996094,19.63052749633789,0.07281128317117691,10.223004341125488
63.889064,9.881531,1,0.6556665301322937,289.2531433105469,32.56017303466797,0.10510168969631195,9.092727661132812
59.242536,10.766228,1,1.8226227760314941,304.113525390625,26.541189193725586,0.020541459321975708,9.69135570526123
51.6,3.65,1,1.8723962306976318,278.8495788574219,29.77910804748535,0.04395696520805359,12.406173706054688
58.830678,-2.96203,1,0.7152338624000549,281.56658935546875,34.89794921875,0.10144328325986862,10.237802505493164
59.273385,10.718285,1,1.6568547487258911,303.4662780761719,26.584484100341797,0.015340877696871758,9.70529556274414
57.29607,11.825,1,0.6714124083518982,308.24267578125,24.35080909729004,0.15969274938106537,10.03315544128418
63.008531,7.306928,1,0.5557176470756531,289.73236083984375,33.09752655029297,0.14168134331703186,9.547632217407227
62.126305,5.360059,1,0.5631409883499146,290.7285461425781,32.848655700683594,0.06520754098892212,9.670110702514648
62.410251,6.54711,1,0.6135483384132385,292.03167724609375,32.92635726928711,0.06131397932767868,9.463202476501465
51.6,3.75,1,1.9625880718231201,279.1629333496094,27.90316390991211,0.05137572064995766,12.361456871032715
56.969637,10.34748,1,0.9626706838607788,306.4208068847656,25.38628578186035,0.09154829382896423,10.159211158752441
51.7,3.3,1,1.5039769411087036,277.91400146484375,33.086029052734375,0.05803941190242767,12.520401954650879
51.516358,-9.139492,1,0.8231038451194763,276.3432922363281,34.66838836669922,0.06874772161245346,11.951531410217285
55.986175,-3.217566,1,1.6696386337280273,286.6256408691406,32.384315490722656,0.01523924432694912,10.29969310760498
54.74924,8.297323,1,1.265886902809143,289.0540466308594,30.850664138793945,0.04040761664509773,10.793169021606445
56.003497,21.040775,1,1.893631935119629,350.54718017578125,7.014973163604736,0.025461789220571518,9.975723266601562
63.878474,9.824129,1,0.658450186252594,289.2994384765625,32.69253158569336,0.11567302793264389,9.174651145935059
58.11181,7.982906,1,0.5623108148574829,293.7276916503906,30.146177291870117,0.10055048018693924,10.170570373535156
54.494294,-0.613217,1,0.924476683139801,282.96270751953125,33.963226318359375,0.04887725040316582,10.686944007873535
52.754398,-4.787828,1,0.6780399084091187,273.9446105957031,34.36362838745117,0.037535231560468674,12.144766807556152
58.57889,11.07194,1,0.6375405192375183,298.375,27.227947235107422,0.3028271198272705,10.006142616271973
56.61809,16.73235,1,0.5949417948722839,351.7008972167969,7.017542839050293,0.014879865571856499,8.882028579711914
60.307853,4.951255,1,0.6164959073066711,290.10650634765625,32.362483978271484,0.18086819350719452,10.022380828857422
40.888829,-8.779932,1,0.9910761117935181,257.3161315917969,34.74378967285156,0.061108559370040894,15.443220138549805
43.560199,-8.226599,1,0.793524980545044,257.5126953125,35.47555160522461,0.0156426839530468,15.214914321899414
56.062534,10.297945,1,0.9454057812690735,320.64898681640625,21.141998291015625,0.08774435520172119,10.253052711486816
55.668787,9.819943,1,0.9841647744178772,321.59625244140625,18.923402786254883,0.03838590905070305,10.2938814163208
57.741767,10.556825,1,0.7414768934249878,294.7761535644531,31.797958374023438,0.32421597838401794,10.254324913024902
51.8,3.25,1,1.4406574964523315,277.59112548828125,33.52171325683594,0.0656433179974556,12.52911376953125
53.8,6.15,1,1.1426453590393066,281.3789978027344,33.665748596191406,0.08671005070209503,11.55588150024414
53.4,5.15,1,1.3509267568588257,281.1975402832031,32.539085388183594,0.09861849993467331,11.774824142456055
51.6,3.6,1,1.8418951034545898,278.7938232421875,30.128252029418945,0.04308412969112396,12.421736717224121
51.75,3.35,1,1.5348262786865234,277.9253845214844,32.87266540527344,0.06032247841358185,12.498109817504883
37.568865,15.330734,1,0.1620435118675232,224.1136932373047,38.221309661865234,0.10762697458267212,20.472305297851562
60.167136,5.586657,1,0.7845442891120911,291.7582092285156,32.35163116455078,0.01273791678249836,9.837738037109375
60.323632,5.261632,1,0.662002682685852,290.5889587402344,32.40385437011719,0.03357553854584694,9.899160385131836
54.370645,6.281514,1,0.699394166469574,280.3328857421875,34.16826248168945,0.036094266921281815,11.284940719604492
54.370976,6.280047,1,0.699394166469574,280.3328857421875,34.16826248168945,0.036094266921281815,11.284940719604492
54.878582,-5.756466,1,0.7102835774421692,276.77520751953125,34.39804458618164,0.050303999334573746,11.240532875061035
57.825432,10.737804,1,0.6666026711463928,296.678466796875,31.28525161743164,0.24533618986606598,10.165338516235352
63.889064,9.881531,1,0.6556665301322937,289.2531433105469,32.56017303466797,0.10510168969631195,9.092727661132812
45.56464,13.499985,1,1.2468945980072021,249.380859375,36.116947174072266,0.03486079350113869,17.391265869140625
56.09465,12.60191,1,0.5703250169754028,313.528564453125,15.068765640258789,0.15516437590122223,10.120636940002441
51.7,3.15,1,1.3530925512313843,277.0075378417969,33.62143325805664,0.056213878095149994,12.556526184082031
67.28267,14.36677,1,0.6799908876419067,297.4096374511719,33.21976089477539,0.023968778550624847,7.855894088745117
57.59494,11.90126,1,0.74991375207901,306.49078369140625,20.928110122680664,0.10691503435373306,9.875082969665527
51.6,3.6,1,1.8418951034545898,278.7938232421875,30.128252029418945,0.04308412969112396,12.421736717224121
59.097083,11.168592,1,1.254722237586975,300.379150390625,25.581323623657227,0.022157469764351845,9.711658477783203
60.659509,4.785002,1,0.6311999559402466,289.8210754394531,32.35734939575195,0.15009304881095886,10.01619815826416
63.608112,8.97903,1,0.42606884241104126,287.9590148925781,33.20499038696289,0.09440865367650986,9.420622825622559
58.1274,6.570727,1,0.8130906224250793,292.946044921875,31.343101501464844,0.0728781595826149,10.13571548461914
60.456981,4.983781,1,0.634615957736969,290.0969543457031,32.37111282348633,0.08167556673288345,9.96339225769043
56.198176,10.672368,1,0.8701175451278687,319.5964050292969,22.47073745727539,0.11929453164339066,10.227438926696777
52.1,4.25,1,2.3008646965026855,284.23931884765625,30.427127838134766,0.048891954123973846,12.211394309997559
55.940424,-5.844953,1,0.6918902397155762,277.7416076660156,34.391910552978516,0.0395735539495945,10.93211555480957
51.4,3.7,1,1.8351950645446777,278.7085876464844,29.15808868408203,0.035102538764476776,12.451790809631348
54.489566,-8.276371,1,0.8012039065361023,274.4717712402344,34.82942581176758,0.08564215898513794,11.762360572814941
42.24921,-8.840459,1,0.8687311410903931,258.75396728515625,34.92737579345703,0.03305136039853096,15.104496002197266
54.883144,-5.717892,1,0.7175087928771973,276.8133850097656,34.37852478027344,0.04910976067185402,11.26462173461914
41.13855,1.76848,1,0.38503211736679077,235.69969177246094,38.024322509765625,0.008213024586439133,19.081432342529297
